Region,분류,ServiceCategory,SKU,Qty,Hours,Options
koreacentral,API Management/opt,API Management,,1,730,tier=Developer
koreacentral,API Management/opt,API Management,,1,730,tier=Basic
koreacentral,API Management/opt,API Management,,1,730,tier=Standard
koreacentral,API Management/opt,API Management,,1,730,tier=Premium
koreacentral,API Management/opt,API Management,,1,730,tier=Basic v2
koreacentral,API Management/opt,API Management,,1,730,tier=Standard v2
koreacentral,API Management/opt,API Management,,1,730,tier=Premium v2
koreacentral,API Management/opt,API Management,,1,730,tier=Consumption
koreacentral,API Management/opt,API Management,,1,730,tier=Self-hosted Gateway
koreacentral,AppSvc/Free/Linux,App Service,F1,1,730,tier=Free; os=Linux
koreacentral,AppSvc/Free/Windows,App Service,F1,1,730,tier=Free; os=Windows
koreacentral,AppSvc/Shared/Linux,App Service,Shared,1,730,tier=Shared; os=Linux
koreacentral,AppSvc/Shared/Windows,App Service,Shared,1,730,tier=Shared; os=Windows
koreacentral,AppSvc/Basic/Linux,App Service,B1,1,730,tier=Basic; os=Linux
koreacentral,AppSvc/Basic/Linux,App Service,B2,1,730,tier=Basic; os=Linux
koreacentral,AppSvc/Basic/Linux,App Service,B3,1,730,tier=Basic; os=Linux
koreacentral,AppSvc/Basic/Windows,App Service,B1,1,730,tier=Basic; os=Windows
koreacentral,AppSvc/Basic/Windows,App Service,B2,1,730,tier=Basic; os=Windows
koreacentral,AppSvc/Basic/Windows,App Service,B3,1,730,tier=Basic; os=Windows
koreacentral,AppSvc/Standard/Linux,App Service,S1,1,730,tier=Standard; os=Linux
koreacentral,AppSvc/Standard/Linux,App Service,S2,1,730,tier=Standard; os=Linux
koreacentral,AppSvc/Standard/Linux,App Service,S3,1,730,tier=Standard; os=Linux
koreacentral,AppSvc/Standard/Windows,App Service,S1,1,730,tier=Standard; os=Windows
koreacentral,AppSvc/Standard/Windows,App Service,S2,1,730,tier=Standard; os=Windows
koreacentral,AppSvc/Standard/Windows,App Service,S3,1,730,tier=Standard; os=Windows
koreacentral,AppSvc/Premium/Windows,App Service,P1,1,730,tier=Premium; os=Windows
koreacentral,AppSvc/Premium/Windows,App Service,P2,1,730,tier=Premium; os=Windows
koreacentral,AppSvc/Premium/Windows,App Service,P3,1,730,tier=Premium; os=Windows
koreacentral,AppSvc/Premium/Windows,App Service,P4,1,730,tier=Premium; os=Windows
koreacentral,AppSvc/Premium v2/Linux,App Service,P1 v2,1,730,tier=Premium v2; os=Linux
koreacentral,AppSvc/Premium v2/Linux,App Service,P2 v2,1,730,tier=Premium v2; os=Linux
koreacentral,AppSvc/Premium v2/Linux,App Service,P3 v2,1,730,tier=Premium v2; os=Linux
koreacentral,AppSvc/Premium v2/Windows,App Service,P1 v2,1,730,tier=Premium v2; os=Windows
koreacentral,AppSvc/Premium v2/Windows,App Service,P2 v2,1,730,tier=Premium v2; os=Windows
koreacentral,AppSvc/Premium v2/Windows,App Service,P3 v2,1,730,tier=Premium v2; os=Windows
koreacentral,AppSvc/Premium v3/Linux,App Service,P0v3,1,730,tier=Premium v3; os=Linux
koreacentral,AppSvc/Premium v3/Linux,App Service,P1 v3,1,730,tier=Premium v3; os=Linux
koreacentral,AppSvc/Premium v3/Linux,App Service,P2 v3,1,730,tier=Premium v3; os=Linux
koreacentral,AppSvc/Premium v3/Linux,App Service,P3 v3,1,730,tier=Premium v3; os=Linux
koreacentral,AppSvc/Premium v3/Linux,App Service,P1mv3,1,730,tier=Premium v3; os=Linux
koreacentral,AppSvc/Premium v3/Linux,App Service,P2mv3,1,730,tier=Premium v3; os=Linux
koreacentral,AppSvc/Premium v3/Linux,App Service,P3mv3,1,730,tier=Premium v3; os=Linux
koreacentral,AppSvc/Premium v3/Linux,App Service,P4mv3,1,730,tier=Premium v3; os=Linux
koreacentral,AppSvc/Premium v3/Linux,App Service,P5mv3,1,730,tier=Premium v3; os=Linux
koreacentral,AppSvc/Premium v3/Windows,App Service,P0v3,1,730,tier=Premium v3; os=Windows
koreacentral,AppSvc/Premium v3/Windows,App Service,P1 v3,1,730,tier=Premium v3; os=Windows
koreacentral,AppSvc/Premium v3/Windows,App Service,P2 v3,1,730,tier=Premium v3; os=Windows
koreacentral,AppSvc/Premium v3/Windows,App Service,P3 v3,1,730,tier=Premium v3; os=Windows
koreacentral,AppSvc/Premium v3/Windows,App Service,P1mv3,1,730,tier=Premium v3; os=Windows
koreacentral,AppSvc/Premium v3/Windows,App Service,P2mv3,1,730,tier=Premium v3; os=Windows
koreacentral,AppSvc/Premium v3/Windows,App Service,P3mv3,1,730,tier=Premium v3; os=Windows
koreacentral,AppSvc/Premium v3/Windows,App Service,P4mv3,1,730,tier=Premium v3; os=Windows
koreacentral,AppSvc/Premium v3/Windows,App Service,P5mv3,1,730,tier=Premium v3; os=Windows
koreacentral,AppSvc/Premium v4/Linux,App Service,P0v4,1,730,tier=Premium v4; os=Linux
koreacentral,AppSvc/Premium v4/Linux,App Service,P1v4,1,730,tier=Premium v4; os=Linux
koreacentral,AppSvc/Premium v4/Linux,App Service,P2v4,1,730,tier=Premium v4; os=Linux
koreacentral,AppSvc/Premium v4/Linux,App Service,P3v4,1,730,tier=Premium v4; os=Linux
koreacentral,AppSvc/Premium v4/Linux,App Service,P1mv4,1,730,tier=Premium v4; os=Linux
koreacentral,AppSvc/Premium v4/Linux,App Service,P2mv4,1,730,tier=Premium v4; os=Linux
koreacentral,AppSvc/Premium v4/Linux,App Service,P3mv4,1,730,tier=Premium v4; os=Linux
koreacentral,AppSvc/Premium v4/Linux,App Service,P4mv4,1,730,tier=Premium v4; os=Linux
koreacentral,AppSvc/Premium v4/Linux,App Service,P5mv4,1,730,tier=Premium v4; os=Linux
koreacentral,AppSvc/Premium v4/Windows,App Service,P0v4,1,730,tier=Premium v4; os=Windows
koreacentral,AppSvc/Premium v4/Windows,App Service,P1v4,1,730,tier=Premium v4; os=Windows
koreacentral,AppSvc/Premium v4/Windows,App Service,P2v4,1,730,tier=Premium v4; os=Windows
koreacentral,AppSvc/Premium v4/Windows,App Service,P3v4,1,730,tier=Premium v4; os=Windows
koreacentral,AppSvc/Premium v4/Windows,App Service,P1mv4,1,730,tier=Premium v4; os=Windows
koreacentral,AppSvc/Premium v4/Windows,App Service,P2mv4,1,730,tier=Premium v4; os=Windows
koreacentral,AppSvc/Premium v4/Windows,App Service,P3mv4,1,730,tier=Premium v4; os=Windows
koreacentral,AppSvc/Premium v4/Windows,App Service,P4mv4,1,730,tier=Premium v4; os=Windows
koreacentral,AppSvc/Premium v4/Windows,App Service,P5mv4,1,730,tier=Premium v4; os=Windows
koreacentral,AppSvc/Isolated/Linux,App Service,I1,1,730,tier=Isolated; os=Linux
koreacentral,AppSvc/Isolated/Linux,App Service,I2,1,730,tier=Isolated; os=Linux
koreacentral,AppSvc/Isolated/Linux,App Service,I3,1,730,tier=Isolated; os=Linux
koreacentral,AppSvc/Isolated/Windows,App Service,I1,1,730,tier=Isolated; os=Windows
koreacentral,AppSvc/Isolated/Windows,App Service,I2,1,730,tier=Isolated; os=Windows
koreacentral,AppSvc/Isolated/Windows,App Service,I3,1,730,tier=Isolated; os=Windows
koreacentral,AppSvc/Isolated v2/Linux,App Service,I1 v2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Linux,App Service,I2 v2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Linux,App Service,I3 v2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Linux,App Service,I4 v2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Linux,App Service,I5 v2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Linux,App Service,I6 v2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Linux,App Service,I1mv2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Linux,App Service,I2mv2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Linux,App Service,I3mv2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Linux,App Service,I4mv2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Linux,App Service,I5mv2,1,730,tier=Isolated v2; os=Linux
koreacentral,AppSvc/Isolated v2/Windows,App Service,I1 v2,1,730,tier=Isolated v2; os=Windows
koreacentral,AppSvc/Isolated v2/Windows,App Service,I2 v2,1,730,tier=Isolated v2; os=Windows
koreacentral,AppSvc/Isolated v2/Windows,App Service,I3 v2,1,730,tier=Isolated v2; os=Windows
koreacentral,AppSvc/Isolated v2/Windows,App Service,I4 v2,1,730,tier=Isolated v2; os=Windows
koreacentral,AppSvc/Isolated v2/Windows,App Service,I5 v2,1,730,tier=Isolated v2; os=Windows
koreacentral,AppSvc/Isolated v2/Windows,App Service,I6 v2,1,730,tier=Isolated v2; os=Windows
koreacentral,AppSvc/Isolated v2/Windows,App Service,I1mv2,1,730,tier=Isolated v2; os=Windows
koreacentral,AppSvc/Isolated v2/Windows,App Service,I2mv2,1,730,tier=Isolated v2; os=Windows
